article_id,is_anomaly,anomaly_score
0,Normal,1
1,Anomaly,-1
2,Anomaly,-1
3,Normal,1
4,Anomaly,-1
5,Normal,1
6,Normal,1
7,Normal,1
8,Normal,1
9,Anomaly,-1
10,Normal,1
11,Anomaly,-1
12,Normal,1
13,Anomaly,-1
14,Normal,1
15,Normal,1
16,Normal,1
17,Normal,1
18,Normal,1
19,Normal,1
20,Anomaly,-1
21,Normal,1
22,Normal,1
23,Normal,1
24,Normal,1
25,Normal,1
26,Normal,1
27,Normal,1
28,Anomaly,-1
29,Normal,1
30,Normal,1
31,Normal,1
32,Normal,1
33,Normal,1
34,Normal,1
35,Normal,1
36,Normal,1
37,Normal,1
38,Normal,1
39,Normal,1
40,Normal,1
41,Normal,1
42,Normal,1
43,Normal,1
44,Normal,1
45,Normal,1
46,Normal,1
47,Normal,1
48,Normal,1
49,Normal,1
50,Normal,1
51,Normal,1
52,Normal,1
53,Normal,1
54,Normal,1
55,Normal,1
56,Anomaly,-1
57,Normal,1
58,Normal,1
59,Normal,1
60,Normal,1
61,Normal,1
62,Normal,1
63,Normal,1
64,Normal,1
65,Normal,1
66,Normal,1
67,Normal,1
68,Normal,1
69,Normal,1
70,Normal,1
71,Normal,1
72,Normal,1
73,Anomaly,-1
74,Normal,1
75,Anomaly,-1
76,Normal,1
77,Normal,1
78,Normal,1
79,Normal,1
80,Normal,1
81,Normal,1
82,Normal,1
83,Normal,1
84,Normal,1
85,Normal,1
86,Normal,1
87,Normal,1
88,Normal,1
89,Normal,1
90,Normal,1
91,Normal,1
92,Normal,1
93,Normal,1
94,Normal,1
95,Normal,1
96,Normal,1
97,Normal,1
98,Normal,1
99,Normal,1
100,Normal,1
101,Normal,1
102,Normal,1
103,Normal,1
104,Normal,1
105,Normal,1
106,Anomaly,-1
107,Normal,1
108,Normal,1
109,Normal,1
110,Anomaly,-1
111,Normal,1
112,Normal,1
113,Normal,1
114,Normal,1
115,Normal,1
116,Normal,1
117,Normal,1
118,Normal,1
119,Normal,1
120,Normal,1
121,Normal,1
122,Normal,1
123,Normal,1
124,Normal,1
125,Normal,1
126,Normal,1
127,Normal,1
128,Normal,1
129,Normal,1
130,Normal,1
131,Anomaly,-1
132,Normal,1
133,Normal,1
134,Normal,1
135,Normal,1
136,Normal,1
137,Anomaly,-1
138,Normal,1
139,Normal,1
140,Normal,1
141,Normal,1
142,Anomaly,-1
143,Normal,1
144,Normal,1
145,Normal,1
146,Normal,1
147,Normal,1
148,Normal,1
149,Normal,1
150,Normal,1
151,Normal,1
152,Normal,1
153,Normal,1
154,Normal,1
155,Normal,1
156,Normal,1
157,Normal,1
158,Normal,1
159,Normal,1
160,Normal,1
161,Normal,1
162,Normal,1
163,Normal,1
164,Normal,1
165,Normal,1
166,Normal,1
167,Normal,1
168,Normal,1
169,Normal,1
170,Anomaly,-1
171,Normal,1
172,Normal,1
173,Normal,1
174,Normal,1
175,Normal,1
176,Normal,1
177,Normal,1
178,Normal,1
179,Normal,1
180,Normal,1
181,Normal,1
182,Anomaly,-1
183,Normal,1
184,Anomaly,-1
185,Normal,1
186,Normal,1
187,Anomaly,-1
188,Normal,1
189,Normal,1
190,Normal,1
191,Normal,1
192,Normal,1
193,Anomaly,-1
194,Normal,1
195,Normal,1
196,Normal,1
197,Normal,1
198,Anomaly,-1
199,Normal,1
200,Anomaly,-1
201,Normal,1
202,Normal,1
203,Normal,1
204,Normal,1
205,Normal,1
206,Normal,1
207,Normal,1
208,Normal,1
209,Normal,1
210,Anomaly,-1
211,Normal,1
212,Normal,1
213,Normal,1
214,Normal,1
215,Normal,1
216,Normal,1
217,Normal,1
218,Normal,1
219,Normal,1
220,Normal,1
221,Anomaly,-1
222,Normal,1
223,Normal,1
224,Normal,1
225,Normal,1
226,Normal,1
227,Normal,1
228,Normal,1
229,Anomaly,-1
230,Normal,1
231,Normal,1
232,Normal,1
233,Normal,1
234,Anomaly,-1
235,Normal,1
236,Normal,1
237,Normal,1
238,Normal,1
239,Normal,1
240,Normal,1
241,Normal,1
242,Normal,1
243,Anomaly,-1
244,Normal,1
245,Normal,1
246,Normal,1
247,Normal,1
248,Anomaly,-1
249,Normal,1
250,Normal,1
251,Normal,1
252,Anomaly,-1
253,Normal,1
254,Normal,1
255,Normal,1
256,Normal,1
257,Anomaly,-1
258,Normal,1
259,Normal,1
260,Normal,1
261,Normal,1
262,Normal,1
263,Normal,1
264,Normal,1
265,Normal,1
266,Normal,1
267,Normal,1
268,Anomaly,-1
269,Normal,1
270,Anomaly,-1
271,Normal,1
272,Normal,1
273,Normal,1
274,Normal,1
275,Normal,1
276,Normal,1
277,Normal,1
278,Normal,1
279,Normal,1
280,Anomaly,-1
281,Normal,1
282,Normal,1
283,Normal,1
284,Normal,1
285,Normal,1
286,Normal,1
287,Normal,1
288,Normal,1
289,Normal,1
290,Normal,1
291,Anomaly,-1
292,Normal,1
293,Normal,1
294,Normal,1
295,Normal,1
296,Normal,1
297,Normal,1
298,Normal,1
299,Normal,1
300,Normal,1
301,Normal,1
302,Normal,1
303,Normal,1
304,Normal,1
305,Normal,1
306,Normal,1
307,Normal,1
308,Normal,1
309,Normal,1
310,Normal,1
311,Normal,1
312,Anomaly,-1
313,Normal,1
314,Normal,1
315,Normal,1
316,Normal,1
317,Normal,1
318,Normal,1
319,Normal,1
320,Normal,1
321,Normal,1
322,Normal,1
323,Normal,1
324,Normal,1
325,Normal,1
326,Normal,1
327,Normal,1
328,Normal,1
329,Normal,1
330,Normal,1
331,Normal,1
332,Normal,1
333,Normal,1
334,Normal,1
335,Normal,1
336,Normal,1
337,Normal,1
338,Normal,1
339,Normal,1
340,Normal,1
341,Normal,1
342,Normal,1
343,Normal,1
344,Normal,1
345,Normal,1
346,Normal,1
347,Normal,1
348,Normal,1
349,Normal,1
350,Normal,1
351,Normal,1
352,Normal,1
353,Normal,1
354,Normal,1
355,Normal,1
356,Normal,1
357,Normal,1
358,Normal,1
359,Normal,1
360,Normal,1
361,Normal,1
362,Normal,1
363,Normal,1
364,Normal,1
365,Normal,1
366,Normal,1
367,Normal,1
368,Normal,1
369,Normal,1
370,Normal,1
371,Normal,1
372,Normal,1
373,Normal,1
374,Normal,1
375,Anomaly,-1
376,Normal,1
377,Normal,1
378,Normal,1
379,Anomaly,-1
380,Anomaly,-1
381,Normal,1
382,Anomaly,-1
383,Normal,1
384,Anomaly,-1
385,Normal,1
386,Normal,1
387,Anomaly,-1
388,Normal,1
389,Normal,1
390,Normal,1
391,Normal,1
392,Normal,1
393,Normal,1
394,Normal,1
395,Normal,1
396,Normal,1
397,Normal,1
398,Normal,1
399,Normal,1
400,Normal,1
401,Normal,1
402,Normal,1
403,Normal,1
404,Normal,1
405,Normal,1
406,Anomaly,-1
407,Normal,1
408,Normal,1
409,Normal,1
410,Normal,1
411,Anomaly,-1
412,Normal,1
413,Normal,1
414,Anomaly,-1
415,Normal,1
416,Normal,1
417,Normal,1
418,Normal,1
419,Anomaly,-1
420,Normal,1
421,Normal,1
422,Normal,1
423,Anomaly,-1
424,Normal,1
425,Anomaly,-1
426,Normal,1
427,Normal,1
428,Normal,1
429,Normal,1
430,Normal,1
431,Normal,1
432,Normal,1
433,Normal,1
434,Normal,1
435,Anomaly,-1
436,Anomaly,-1
437,Normal,1
438,Normal,1
439,Normal,1
440,Normal,1
441,Normal,1
442,Normal,1
443,Anomaly,-1
444,Normal,1
445,Normal,1
446,Normal,1
447,Normal,1
448,Normal,1
449,Normal,1
