topic_id,keywords
-1,Outlier
0,"bangladesh, run, wicket, mohammad, match"
1,"pcb, pakistan, cricket, team, coach"
2,"gladiator, peshawar, zalmi, king, quetta"
3,"oil, barrel, crude, price, cent"
4,"export, million, cotton, compared, year"
5,"france, goal, germany, minute, euro"
6,"oil, crude, price, singapore, cent"
7,"murray, djokovic, wimbledon, federer, slam"
8,"england, cook, test, root, shah"
9,"boxing, ali, fight, boxer, muhammad"
10,"percent, yen, kong, hong, point"
11,"oil, crude, barrel, price, london"
12,"africa, south, de, england, villiers"
13,"gold, ounce, diamond, rate, percent"
14,"china, trade, growth, economy, global"
15,"amir, lord, england, cricket, mohammad"
16,"price, diesel, litre, petrol, petroleum"
17,"williams, open, slam, set, grand"
18,"trump, clinton, job, percent, digital"
19,"minister, dar, imf, finance, ishaq"
20,"percent, rate, fed, dollar, yen"
21,"zealand, new, williamson, test, australia"
22,"rio, olympic, brazil, olympics, janeiro"
23,"argentina, copa, minute, messi, america"
24,"eu, britain, brexit, pound, european"
25,"club, league, mourinho, manchester, manager"
26,"gwadar, cpec, port, project, pakistan"
27,"security, cricket, india, team, pcb"
28,"ltd, stock, index, market, percent"
29,"power, project, plant, electricity, coal"
30,"woman, ball, run, wicket, womens"
31,"saudi, arabia, dubai, dhabi, abu"
32,"tax, fbr, revenue, return, system"
33,"opec, output, oil, saudi, arabia"
34,"lanka, sri, bairstow, england, test"
35,"sharapova, antidoping, drug, positive, meldonium"
36,"barcelona, messi, barca, neymar, liga"
37,"sri, lanka, herath, australia, rangana"
38,"iran, sanction, eapc, israel, iranian"
39,"player, championship, tennis, styletextalign, event"
40,"imf, sukuk, reform, fund, government"
41,"bank, banknote, sbp, design, coin"
42,"fifa, blatter, football, platini, soccer"
43,"index, firstsection, topix, point, broader"
44,"indie, west, south, africa, st"
45,"pia, airline, aircraft, fare, service"
46,"nagpur, afghanistan, kong, zimbabwe, scotland"
47,"lng, gas, pipeline, natural, qatar"
48,"portugal, ronaldo, france, goal, santos"
49,"vehicle, lawsuit, selfdriving, emission, uber"
50,"tariff, nepra, power, electric, unit"
51,"ball, inning, kohli, first, mumbai"
52,"yen, tokyo, percent, japanese, early"
53,"tourism, turkey, coup, turkish, lira"
54,"australia, india, run, finch, marsh"
55,"daynight, pink, test, adelaide, australia"
56,"percent, dollar, crude, share, low"
57,"indie, england, captain, mumbai, made"
58,"online, ecommerce, href, festival, deal"
59,"fan, police, russian, violence, france"
60,"mobile, phone, telecom, broadband, smartphones"
61,"bcci, board, icc, cricket, manohar"
62,"cng, station, gas, ogra, compressed"
63,"india, reliance, modi, rupee, apple"
64,"test, england, stokes, yorkshire, anderson"
